raw_idx,count,mean_ratio,std_ratio,min_ratio,max_ratio,weighted_ratio,mean_inliers,mean_total
1,6,0.7168333333333333,0.018601224571397335,0.6807,0.7417,0.7161531279178338,511.3333333333333,714
2,6,0.27003333333333335,0.02288905609431916,0.2338,0.3022,0.2689956331877729,51.333333333333336,190.83333333333334
3,6,0.2597333333333333,0.0522765934450804,0.1739,0.3269,0.25661914460285135,42,163.66666666666666
4,6,0.29715,0.029012339328867178,0.2414,0.3383,0.29808568824065634,54.5,182.83333333333334
5,6,0.3188,0.03433603549237058,0.266,0.355,0.32061068702290074,63,196.5
6,6,0.28865,0.059553470371871135,0.1705,0.3478,0.29014084507042254,51.5,177.5
7,6,0.2389,0.035858704196703305,0.1684,0.2751,0.23754789272030652,41.333333333333336,174
8,6,0.2511,0.023185196426455675,0.216,0.2818,0.2522080471050049,42.833333333333336,169.83333333333334
9,6,0.2836166666666667,0.023235921663569865,0.2381,0.3161,0.28410159924741296,50.333333333333336,177.16666666666666
10,6,0.1995,0.035519572069494305,0.129,0.2387,0.2012072434607646,33.333333333333336,165.66666666666666
