warp_idx,count,mean_ratio,std_ratio,weighted_ratio,mean_inliers
1,10,0.31703,0.14114108579715545,0.4073914911903739,94.8
2,10,0.32951,0.1332561627092721,0.40895262929161236,94.1
3,10,0.30926,0.14705953352299195,0.3979591836734694,89.7
4,10,0.31038,0.13160817451815066,0.41047297297297297,97.2
5,10,0.30673,0.14636503031803738,0.4152691968225949,94.1
6,10,0.30168,0.15549379923328133,0.4032258064516129,95
